datetime,symbol,open,high,low,close,volume
2019-01-03 21:00:00,VANTAGE:SP500,2450.1,2538.1,2437.4,2529.4,0.0
2019-01-06 21:00:00,VANTAGE:SP500,2536.45,2566.55,2523.15,2552.4,0.0
2019-01-07 21:00:00,VANTAGE:SP500,2552.6,2580.65,2547.15,2569.4,0.0
2019-01-08 21:00:00,VANTAGE:SP500,2568.3,2595.65,2567.4,2580.8,0.0
2019-01-09 21:00:00,VANTAGE:SP500,2578.65,2598.2,2559.4,2594.2,0.0
2019-01-10 21:00:00,VANTAGE:SP500,2594.15,2596.65,2576.15,2594.15,0.0
2019-01-13 21:00:00,VANTAGE:SP500,2587.31,2590.56,2566.06,2580.31,0.0
2019-01-14 21:00:00,VANTAGE:SP500,2580.3,2612.55,2579.05,2605.05,0.0
2019-01-15 21:00:00,VANTAGE:SP500,2604.58,2625.33,2601.58,2614.58,0.0
2019-01-16 21:00:00,VANTAGE:SP500,2613.22,2644.22,2595.22,2636.72,0.0
2019-01-17 21:00:00,VANTAGE:SP500,2635.78,2675.03,2631.78,2670.28,0.0
2019-01-20 21:00:00,VANTAGE:SP500,2670.51,2672.21,2655.11,2662.61,0.0
2019-01-21 21:00:00,VANTAGE:SP500,2658.27,2665.42,2615.92,2632.37,0.0
2019-01-22 21:00:00,VANTAGE:SP500,2630.51,2653.26,2612.26,2637.26,0.0
2019-01-23 21:00:00,VANTAGE:SP500,2635.15,2646.95,2625.9,2636.9,0.0
2019-01-24 21:00:00,VANTAGE:SP500,2636.37,2672.01,2634.51,2663.01,0.0
2019-01-27 21:00:00,VANTAGE:SP500,2661.43,2663.83,2622.83,2641.58,0.0
2019-01-28 21:00:00,VANTAGE:SP500,2641.18,2650.58,2629.33,2646.83,0.0
2019-01-29 21:00:00,VANTAGE:SP500,2649.13,2690.28,2637.03,2683.78,0.0
2019-01-30 21:00:00,VANTAGE:SP500,2683.8,2712.9,2676.05,2712.3,0.0
2019-01-31 21:00:00,VANTAGE:SP500,2707.81,2715.81,2695.56,2704.56,0.0
2019-02-03 21:00:00,VANTAGE:SP500,2699.88,2725.13,2697.38,2721.63,0.0
2019-02-04 21:00:00,VANTAGE:SP500,2720.76,2738.26,2717.01,2732.26,0.0
2019-02-05 21:00:00,VANTAGE:SP500,2731.13,2736.93,2722.93,2728.18,0.0
2019-02-06 21:00:00,VANTAGE:SP500,2727.2,2729.45,2685.95,2703.45,0.0
2019-02-07 21:00:00,VANTAGE:SP500,2702.19,2708.44,2680.69,2705.94,0.0
2019-02-10 21:00:00,VANTAGE:SP500,2711.51,2722.01,2701.01,2708.26,0.0
2019-02-11 21:00:00,VANTAGE:SP500,2707.53,2748.28,2706.53,2745.53,0.0
2019-02-12 21:00:00,VANTAGE:SP500,2744.42,2762.17,2743.17,2749.67,0.0
2019-02-13 21:00:00,VANTAGE:SP500,2748.86,2762.36,2729.86,2741.11,0.0
2019-02-14 21:00:00,VANTAGE:SP500,2740.85,2776.85,2728.35,2776.35,0.0
2019-02-17 20:00:00,VANTAGE:SP500,2779.43,2782.18,2773.43,2778.18,0.0
2019-02-18 20:00:00,VANTAGE:SP500,2777.51,2787.51,2766.26,2778.51,0.0
2019-02-19 20:00:00,VANTAGE:SP500,2777.68,2790.43,2773.18,2786.68,0.0
2019-02-20 20:00:00,VANTAGE:SP500,2786.53,2797.57,2763.82,2773.82,0.0
2019-02-21 20:00:00,VANTAGE:SP500,2773.22,2794.22,2770.72,2791.47,0.0
2019-02-24 20:00:00,VANTAGE:SP500,2799.41,2813.91,2794.66,2795.41,0.0
2019-02-25 20:00:00,VANTAGE:SP500,2796.09,2803.59,2783.59,2789.34,0.0
2019-02-26 20:00:00,VANTAGE:SP500,2787.91,2796.91,2775.16,2796.41,0.0
2019-02-27 20:00:00,VANTAGE:SP500,2794.79,2795.04,2781.29,2786.37,0.0
2019-02-28 20:00:00,VANTAGE:SP500,2785.36,2807.8,2782.61,2804.36,0.0
2019-03-03 20:00:00,VANTAGE:SP500,2813.4,2819.4,2767.4,2791.4,0.0
2019-03-04 20:00:00,VANTAGE:SP500,2790.76,2799.01,2783.51,2788.51,0.0
2019-03-05 20:00:00,VANTAGE:SP500,2786.82,2792.57,2768.82,2771.07,0.0
2019-03-06 20:00:00,VANTAGE:SP500,2770.48,2775.98,2738.48,2749.73,0.0
2019-03-07 20:00:00,VANTAGE:SP500,2748.68,2751.18,2721.93,2746.97,0.0
2019-03-10 19:00:00,VANTAGE:SP500,2745.74,2787.74,2737.24,2786.24,0.0
2019-03-11 19:00:00,VANTAGE:SP500,2785.31,2798.56,2781.06,2794.31,0.0
2019-03-12 19:00:00,VANTAGE:SP500,2793.71,2822.21,2783.96,2816.46,0.0
2019-03-13 19:00:00,VANTAGE:SP500,2815.69,2819.94,2803.44,2807.69,0.0
2019-03-14 19:00:00,VANTAGE:SP500,2808.28,2831.28,2807.53,2825.03,0.0
2019-03-17 19:00:00,VANTAGE:SP500,2822.38,2837.44,2819.44,2836.69,0.0
2019-03-18 19:00:00,VANTAGE:SP500,2836.84,2853.92,2824.17,2832.92,0.0
2019-03-19 19:00:00,VANTAGE:SP500,2832.86,2844.61,2813.11,2819.36,0.0
2019-03-20 19:00:00,VANTAGE:SP500,2819.28,2861.53,2809.53,2855.53,0.0
2019-03-21 19:00:00,VANTAGE:SP500,2855.03,2860.11,2800.86,2806.36,0.0
2019-03-24 19:00:00,VANTAGE:SP500,2809.05,2814.55,2785.8,2804.8,0.0
2019-03-25 19:00:00,VANTAGE:SP500,2805.08,2831.33,2802.58,2820.08,0.0
2019-03-26 19:00:00,VANTAGE:SP500,2820.2,2828.2,2788.45,2803.7,0.0
2019-03-27 19:00:00,VANTAGE:SP500,2803.51,2820.51,2791.51,2818.76,0.0
2019-03-28 19:00:00,VANTAGE:SP500,2817.09,2836.84,2816.84,2836.34,0.0
2019-03-31 19:00:00,VANTAGE:SP500,2840.98,2869.73,2840.98,2867.2,0.0
2019-04-01 19:00:00,VANTAGE:SP500,2865.45,2870.45,2859.2,2863.2,0.0
